alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.5640000000000001,1.0025519754022982,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5650000000000001,1.0053251786152815,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5660000000000001,1.0081047643499184,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5670000000000001,1.0108907620527143,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5680000000000001,1.0136832013744286,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5690000000000001,1.016482112171968,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5700000000000001,1.0192875245103008,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5710000000000001,1.0220994686643965,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5720000000000001,1.024917975121184,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5730000000000001,1.027743074581537,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5740000000000001,1.0305747979622788,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5750000000000001,1.033413176398213,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.5760000000000001,1.036258241244178,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.577,1.0391100240771243,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.578,1.0419685566982189,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.579,1.0448338711349705,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.58,1.0477059996433853,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.581,1.0505849747101441,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.582,1.0534708290548076,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.583,1.0563635956320478,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.584,1.0592633076339055,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.585,1.0621699984920758,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.586,1.0650837018802206,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.587,1.0680044517163094,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.588,1.0709322821649887,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.589,1.0738672276399788,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
